,apple,microsoft,google,amazon,nvidia,jpmorgan,berkshire hathaway,johnson & johnson,walmart,exxon
2018-01-02,0.08823529411764706,0.1285714285714286,-0.1,0.21874999999999997,0.3,0.0,0.0,-0.5666666666666668,0.0,0.0
2018-01-03,-0.10800000000000001,0.11818181818181818,-0.15238095238095234,0.08333333333333333,0.305,0.0,0.15,0.05,0.0,0.0
2018-01-04,4.270088556250602e-18,-0.17777777777777776,-0.11612903225806451,-0.012500000000000004,0.5666666666666667,0.0,0.0,0.0,0.35,-0.1
2018-01-05,-0.13333333333333333,-0.06666666666666667,0.055172413793103454,0.24615384615384617,0.5,0.5,0.0,0.0,-0.2,0.0
2018-01-08,-0.19736842105263155,-0.26666666666666666,-0.12499999999999999,0.0,0.5,0.0,0.6999999999999998,0.0,0.0,0.0
2018-01-09,-0.17777777777777778,-0.28461538461538455,-0.0818181818181818,0.2,0.3,0.0,0.0,0.125,0.03333333333333335,0.0
2018-01-10,-0.19428571428571428,-0.2222222222222222,-0.06,0.1318181818181818,-0.17142857142857143,0.0,0.08275862068965517,-0.024999999999999967,0.11666666666666665,0.0
2018-01-11,0.2636363636363636,0.18888888888888888,-0.06666666666666665,0.08750000000000001,0.0,0.15,0.11250000000000002,-0.12499999999999999,0.068,0.175
2018-01-12,0.1375,-0.09999999999999999,-0.08823529411764704,0.18571428571428572,0.3,0.25,0.0,-0.16666666666666666,-0.09259259259259257,0.15
2018-01-16,0.022222222222222216,0.07142857142857142,0.12941176470588234,0.2619047619047619,0.4,0.39799999999999996,0.0,0.0,-0.12499999999999997,0.0
2018-01-17,0.21838709677419355,0.17777777777777778,-0.05000000000000001,0.09166666666666666,-0.2333333333333333,0.0,0.0,0.4,0.1375,0.05
2018-01-18,0.133125,0.04666666666666667,0.09411764705882353,0.13333333333333333,-0.05,0.0,0.0,-0.3857142857142857,0.275,-0.3
2018-01-19,-0.22399999999999998,0.07500000000000001,0.12631578947368421,0.24499999999999994,0.3,0.0,0.0,-0.1,0.0,0.0
2018-01-22,0.07142857142857142,-0.2833333333333333,0.006249999999999995,0.34588235294117653,-0.15,0.0,0.0,0.0,0.35,0.0
2018-01-23,-4.827056628805028e-18,-0.22000000000000003,0.13703703703703704,0.065,0.5,0.4125,0.6,-0.21538461538461537,0.0,0.0
2018-01-24,-0.1566037735849057,0.0,0.025000000000000005,0.13076923076923078,0.3,0.4,0.0,-0.5166666666666666,0.025000000000000005,0.0
2018-01-25,0.06086956521739131,0.0,0.05499999999999999,0.038235294117647055,0.0,-0.2,-0.5,-0.13333333333333333,0.0,0.0
2018-01-26,-0.03333333333333335,0.030000000000000006,-0.0909090909090909,0.08125000000000002,0.1,0.0,0.0,0.6,0.41999999999999993,0.0
2018-01-29,-0.12704918032786883,0.07857142857142858,0.06428571428571431,0.10666666666666666,0.0,0.07500000000000001,0.0,0.3,0.0,0.7
2018-01-30,-0.28955223880597014,0.016666666666666673,0.04666666666666667,0.23199999999999998,0.3,0.09999999999999999,0.17804878048780487,0.0,0.3666666666666667,0.6499999999999999
2018-01-31,-0.19999999999999998,0.43,0.007692307692307691,0.2652173913043478,0.0,0.05454545454545454,0.25263157894736843,-0.6,0.55,0.5
2018-02-01,0.07037037037037037,0.022727272727272728,0.11666666666666667,0.28095238095238095,-0.3,0.2,0.1,0.0,-0.05000000000000002,-0.033333333333333326
2018-02-02,0.02716049382716049,0.08428571428571428,-0.1736842105263158,0.4539999999999999,-1.3877787807814457e-17,0.0,0.26666666666666666,-0.1,0.02500000000000001,-0.38461538461538464
2018-02-05,-0.15232558139534885,0.0,-0.08095238095238094,0.18095238095238092,0.3,-0.10000000000000002,0.13333333333333333,-0.2333333333333333,0.0,-0.5
2018-02-06,-0.18181818181818182,-0.023333333333333334,-0.06,0.011111111111111112,-0.6,0.325,-0.15,0.0,0.2333333333333333,-0.3666666666666667
2018-02-07,0.03870967741935486,-0.0125,-0.05217391304347824,0.21000000000000002,0.0,-0.25,0.0,0.15,0.0,0.0
2018-02-08,0.09,-0.02,-0.19047619047619047,0.2733333333333333,0.557142857142857,0.0,0.05,0.0,0.37692307692307697,0.19999999999999998
2018-02-09,-0.06823529411764706,-0.16666666666666666,-0.2,0.3055555555555555,0.6199999999999999,0.2,0.0,-0.7,0.2,0.6
2018-02-12,-0.13999999999999999,0.15,-0.025806451612903226,0.1625,0.3,0.0,0.19999999999999998,0.0,0.08571428571428572,0.10000000000000002
2018-02-13,0.07692307692307693,-0.01818181818181818,0.061111111111111116,0.08181818181818182,0.0,0.2,0.07999999999999999,-0.7,-0.13333333333333333,0.0
2018-02-14,0.05882352941176472,0.0,0.13157894736842107,0.1125,0.0,0.0,0.21250000000000002,0.9,0.43125,0.0
2018-02-15,0.27031249999999996,0.06666666666666665,-0.02916666666666666,0.1611111111111111,0.0,0.0,0.18461538461538465,0.55,0.19999999999999998,0.0
2018-02-16,0.22333333333333333,-0.125,0.13999999999999999,-0.08181818181818182,0.0,0.19999999999999998,0.11666666666666665,0.0,0.3,0.0
2018-02-20,0.0062500000000000056,0.0,0.027272727272727268,0.07277777777777777,0.3,0.15000000000000002,0.0,0.0,-0.24146341463414636,0.7
2018-02-21,0.06999999999999999,0.0,0.20769230769230768,0.1522727272727273,0.0,0.3,0.0,-0.3,-0.3337931034482758,0.0
2018-02-22,0.12941176470588237,0.049999999999999996,-0.03333333333333334,0.1619047619047619,0.8,-0.3,0.1,0.0,0.025000000000000022,0.6333333333333333
